Generation,Individual,Genome,Score
0,0,[1.6 2.2 2.8 2.2 0.2 2.  2.8 0.8 0.4 2.8],0.00036765672848559916
0,1,[2.6 1.  0.6 0.2 0.  1.4 1.  0.  2.4 1.6],0.00047881886712275445
0,2,[2.  2.8 2.  0.  2.4 1.2 1.6 0.4 2.2 0.4],0.0005904645076952875
0,3,[2.2 2.4 2.4 0.4 0.  1.8 2.  1.8 0.8 2.2],0.0005949807818979025
0,4,[0.  1.8 2.8 0.  0.2 0.2 1.4 0.6 0.8 0.8],0.0007740294677205384
0,5,[2.6 1.8 0.  1.4 2.2 0.6 2.8 2.  0.8 2.6],0.0007884318474680185
0,6,[0.6 1.8 0.2 1.2 1.8 1.  0.6 2.6 2.2 0. ],0.0008321567438542843
0,7,[0.  1.6 1.2 0.  0.6 2.8 2.8 1.2 1.4 0.2],0.0009563861531205475
0,8,[0.2 0.6 1.2 0.  0.4 2.8 2.8 1.  2.  1.4],0.001252935267984867
0,9,[2.6 1.  1.4 0.  2.2 0.2 0.8 1.6 2.8 0.8],0.0017293181736022234
0,10,[1.6 1.8 1.  0.4 0.  2.8 2.  0.8 2.6 2.6],0.0018822994315996766
0,11,[2.2 1.8 2.  0.2 0.  2.8 0.6 0.  2.2 2.2],0.002199155744165182
0,12,[1.4 1.  0.8 1.  1.6 0.4 1.2 1.4 0.6 2. ],0.002674232702702284
0,13,[0.6 0.8 1.4 2.2 1.8 0.8 1.2 2.2 2.8 1. ],0.0030326442793011665
0,14,[2.8 0.2 1.6 0.6 2.6 0.2 2.4 0.8 0.  2. ],0.0032510736491531134
0,15,[0.4 0.  2.8 0.2 0.6 2.2 2.6 2.  0.  2.8],0.00345437228679657
0,16,[0.  0.4 0.4 2.4 2.  1.  0.8 1.  2.2 0.6],0.0038419899065047503
0,17,[0.2 2.2 0.8 1.  2.6 0.2 2.4 2.8 1.  0.8],0.004051088355481625
0,18,[1.4 0.2 1.2 2.2 2.8 1.8 0.  1.2 1.  1.2],0.004556227941066027
0,19,[1.4 2.6 2.  1.  0.8 2.8 2.6 1.8 1.8 2.4],0.005168951582163572
0,20,[2.  0.8 2.6 0.  0.6 1.4 1.2 0.  2.6 0.8],0.006132303271442652
0,21,[0.4 2.  1.2 1.4 2.2 0.4 2.2 2.2 1.  1.6],0.0062204692512750626
0,22,[1.2 0.2 0.2 0.6 2.6 0.6 1.  0.8 0.6 0.6],0.0073851034976542
0,23,[2.8 0.2 2.  2.4 2.6 1.8 0.8 1.2 1.4 0.4],0.0076604364439845085
0,24,[1.  0.6 1.6 0.2 0.  0.8 0.4 0.2 0.  2.6],0.009701344184577465
0,25,[1.4 1.8 2.8 2.6 2.8 0.2 0.4 0.2 2.8 1.4],0.010829750448465347
0,26,[1.4 1.2 0.8 2.6 0.  0.4 1.6 0.2 1.2 0.4],0.010853192768990993
0,27,[0.6 1.4 0.2 0.2 1.  0.4 0.2 0.4 2.8 2.4],0.011238821782171726
0,28,[1.4 0.8 2.6 0.2 1.8 2.8 0.4 2.8 0.2 2.8],0.012360474094748497
0,29,[1.2 1.2 2.4 2.6 2.4 2.4 0.6 0.2 2.2 0.6],0.013311440125107765
0,30,[0.8 1.  1.8 1.2 0.2 1.8 0.2 0.2 0.8 1. ],0.013312076218426228
0,31,[1.6 0.2 0.6 1.4 2.  1.4 0.  0.2 0.8 1. ],0.014311625622212887
0,32,[2.4 0.8 0.4 0.4 2.8 0.8 1.8 0.6 0.2 2.6],0.01439977902919054
0,33,[2.2 0.2 1.2 2.2 1.4 0.8 1.  1.2 2.4 0. ],0.01540430262684822
0,34,[1.4 0.8 2.2 0.2 0.6 2.4 2.8 2.6 0.2 2.8],0.01637556403875351
0,35,[0.  1.6 1.8 0.8 2.4 0.  1.8 2.6 0.4 1.6],0.017022624611854553
0,36,[2.2 2.4 2.8 1.6 2.6 2.2 1.  0.2 0.  0. ],0.017527051270008087
0,37,[1.6 2.2 1.  0.  1.2 1.8 1.6 0.8 1.4 2. ],0.01930808462202549
0,38,[2.8 2.8 1.4 0.  0.4 2.8 2.2 0.  2.  1.4],0.019456006586551666
0,39,[0.8 0.  1.  2.  2.  1.  0.4 2.  0.8 2.6],0.020483417436480522
0,40,[1.  1.2 1.8 0.2 0.  1.8 2.8 1.4 1.4 2.4],0.021340269595384598
0,41,[2.8 2.2 0.2 1.  1.6 0.2 1.6 2.4 2.6 0.8],0.021641748026013374
0,42,[1.8 0.  0.8 2.2 1.6 0.  0.6 2.4 0.8 2. ],0.02199523150920868
0,43,[2.2 2.8 2.4 0.2 0.6 1.8 2.6 2.2 1.8 0.4],0.023092417046427727
0,44,[1.4 1.8 1.4 0.2 1.4 0.  1.2 1.6 2.2 0. ],0.023396069183945656
0,45,[1.6 1.  0.2 0.6 2.8 1.4 2.  1.6 2.2 1.2],0.023930203169584274
0,46,[1.2 2.2 1.8 1.  0.4 1.8 2.2 1.4 0.8 1.4],0.023945817723870277
0,47,[2.  0.6 2.6 2.4 2.4 1.  1.4 2.4 2.6 1.2],0.024130241945385933
0,48,[1.2 2.2 0.  1.  1.6 0.4 0.8 1.2 1.4 2. ],0.024612216278910637
0,49,[1.  0.  0.  1.2 2.  0.2 1.2 1.8 1.4 0. ],0.024753201752901077
0,50,[0.4 1.6 2.8 0.  1.2 2.  1.8 2.  1.6 2.4],0.025022845715284348
0,51,[2.6 2.8 1.8 0.2 2.4 0.4 2.8 2.4 1.4 0. ],0.025796841830015182
0,52,[1.  0.  2.8 1.4 0.6 1.8 0.8 0.  0.  0.8],0.026455961167812347
0,53,[1.6 2.4 0.8 0.4 0.  1.6 2.  0.4 2.6 2. ],0.02674763649702072
0,54,[2.4 1.8 1.6 0.8 0.  1.4 1.  0.2 0.8 0.4],0.02699572592973709
0,55,[1.8 2.8 1.8 0.4 2.8 0.6 0.6 0.8 2.2 1.6],0.02699947915971279
0,56,[1.8 2.  2.2 2.6 1.2 2.  1.6 0.6 2.6 1.6],0.0280380230396986
0,57,[2.2 1.6 0.8 1.6 1.4 0.8 2.8 0.  1.4 2. ],0.031124992296099663
0,58,[2.8 0.8 1.  0.4 1.2 2.4 2.  0.6 0.6 1.8],0.03144814819097519
0,59,[2.6 0.6 0.6 2.6 0.6 0.2 0.8 0.4 2.2 0.8],0.03192580118775368
0,60,[1.2 0.6 1.8 0.4 0.2 2.2 1.8 1.  0.4 0.4],0.0328163206577301
0,61,[0.6 2.  2.2 1.6 0.  2.4 2.6 0.  0.4 1. ],0.033422816544771194
0,62,[1.8 0.  1.8 2.2 2.2 0.6 0.6 2.8 0.2 2.6],0.03393904119729996
0,63,[2.6 1.6 1.2 0.8 2.2 1.6 0.  1.4 2.6 1.2],0.034409068524837494
0,64,[1.8 2.8 2.  1.  2.4 0.4 1.8 2.  1.8 0.6],0.03457297012209892
0,65,[1.  0.  2.8 1.2 0.2 2.  2.8 0.4 1.6 0.8],0.035030487924814224
0,66,[1.8 2.  2.8 1.6 1.4 2.8 1.6 0.6 1.8 0.2],0.035404495894908905
0,67,[0.2 0.4 1.2 2.4 2.4 1.8 0.  2.4 2.8 0.8],0.03558231517672539
0,68,[1.4 2.2 0.2 0.6 0.  2.2 2.6 0.4 1.2 2.4],0.03562244772911072
0,69,[1.4 2.6 1.8 0.2 0.8 0.  1.4 1.  0.8 2. ],0.03610619157552719
0,70,[0.  0.  1.2 1.2 1.8 0.  0.6 0.6 2.2 0.4],0.03611374273896217
0,71,[2.6 2.8 2.  0.  0.6 2.8 2.4 1.2 2.6 0.8],0.036504074931144714
0,72,[0.8 2.  1.2 2.6 2.6 0.8 0.8 2.2 1.6 1.8],0.03702092543244362
0,73,[2.6 1.6 2.  1.  1.6 2.6 1.6 0.6 0.2 0.4],0.037184420973062515
0,74,[2.8 1.2 1.2 1.8 2.4 0.  0.8 1.6 0.4 1. ],0.03768295422196388
0,75,[1.2 2.8 2.6 1.4 0.4 2.6 2.  1.  1.4 2. ],0.03799258545041084
0,76,[1.6 2.8 0.  2.  1.4 0.8 0.8 1.2 2.4 0.8],0.03830296918749809
0,77,[2.  1.  1.6 2.  2.  0.6 1.4 2.6 2.4 2.6],0.0384853258728981
0,78,[1.4 0.  0.6 2.6 2.8 1.4 1.8 2.4 1.2 1.6],0.038817912340164185
0,79,[2.  2.4 1.  1.8 2.8 0.6 1.6 2.4 2.6 2.2],0.040415339171886444
0,80,[1.2 1.6 1.6 0.8 1.4 2.4 1.6 1.  1.2 2.8],0.040941495448350906
0,81,[1.2 1.8 2.4 0.2 1.8 2.4 2.4 1.4 1.  2.6],0.0411754734814167
