Parameter,Value
level_inf,0
level_sup,1.0
inter,False
step,0.1
lim_inf,-4
lim_sup,4
step_domain,800
dna_length,12
input_size,1
hidden_size,12
output_size,1
epochs,10
lr,0.01
seed,20
pop_size,1000
N_gens,30
set_k,12
cross_method,Crossover_prof
one_point,2
length_per,10
mut_method,Flip_Bit_Mutation
hm_flip,2
hm_swap,2
likely_per,50
mut_per,50
cross_per,900
Gen,Mean Score,Min Score
0,0.439515836,0.030201311
1,0.206353002,0.007482621
2,0.116281174,0.001401805
3,0.083919566,0.000447327
4,0.057179302,0.000477918
5,0.058397875,0.000388105
6,0.054049082,0.000231685
7,0.054219081,0.000222938
8,0.058891845,0.000290585
9,0.061963252,0.000264637
10,0.060272558,0.000228289
11,0.052162073,0.000258243
12,0.057976824,0.000229411
13,0.068092592,0.000430284
14,0.051333663,0.000380196
15,0.046082384,0.000308325
16,0.046205145,0.000302367
17,0.056737686,0.000293925
18,0.072460398,0.000294619
19,0.048131158,0.000319537
20,0.061270986,0.000195216
21,0.066153659,0.000284942
22,0.063513538,0.000251786
23,0.071338651,0.000285614
24,0.046115744,0.000219134
25,0.047725897,0.000254116
26,0.065587994,0.000177319
27,0.067949244,0.000156472
28,0.065661932,0.000204394
29,0.05622448,0.000161557
