Parameter,Value
level_inf,0
level_sup,1.2
inter,False
step,0.1
lim_inf,-4
lim_sup,4
step_domain,800
dna_length,10
input_size,1
hidden_size,12
output_size,1
epochs,50
lr,0.01
seed,20
pop_size,1200
N_gens,50
set_k,12
cross_method,Crossover_prof
one_point,2
length_per,10
mut_method,Flip_Bit_Mutation
hm_flip,2
hm_swap,2
likely_per,60
mut_per,60
cross_per,1080
Gen,Mean Score,Min Score
0,0.517781656,0.020764761
1,0.222880657,0.002244626
2,0.130657492,0.00455849
3,0.085804326,0.001080566
4,0.090466994,0.000522387
5,0.080024605,0.000521483
6,0.05873062,0.000366936
7,0.074390297,0.000329853
8,0.063235859,0.000307735
9,0.056803566,0.000281886
10,0.065583281,0.000257387
11,0.069621531,0.000261053
12,0.068786691,0.000341201
13,0.067096827,0.000382612
14,0.062942093,0.000325595
15,0.065045163,0.000366679
16,0.077143043,0.000358085
17,0.06159706,0.000631081
18,0.075044649,0.000622386
19,0.074089094,0.000548527
20,0.060313825,0.000534721
21,0.054155853,0.000531119
22,0.05410579,0.000515597
23,0.056781328,0.000509452
24,0.062420249,0.000576431
25,0.064313918,0.000564957
26,0.05904234,0.000537458
27,0.061656776,0.000517921
28,0.058668274,0.000517294
29,0.051557211,0.000531346
30,0.078384558,0.000531274
31,0.086277195,0.000528893
32,0.076544735,0.000527656
33,0.078854529,0.00056574
34,0.082235994,0.000547271
35,0.074034628,0.000532431
36,0.086971423,0.000514388
37,0.075778878,0.000511057
38,0.063873792,0.000512892
39,0.06741064,0.000501362
40,0.074922065,0.000529394
41,0.074529588,0.00073967
42,0.066631639,0.000756717
43,0.060839338,0.000674534
44,0.051437339,0.000670298
45,0.041135848,0.000624342
46,0.047627099,0.000742788
47,0.068166861,0.0006379
48,0.080617623,0.000624128
49,0.082643029,0.00059325
