Generation,Individual,Genome,Score
0,0,"[0.2 2.4 2.6 0.  0.9 0.2 0.5 0.3 1.  1.7 0.3 2.6 0.1 2.6 2.2 1.  2.1 1.8
 2.6 0.1]",0
0,1,"[0.6 2.6 0.1 1.  0.4 2.4 2.8 2.9 2.  0.9 2.3 2.8 2.7 1.  1.7 2.5 2.1 2.9
 1.2 1. ]",0
0,2,"[2.  0.2 2.9 1.1 1.9 2.5 0.1 0.1 0.1 1.7 1.  2.  2.1 1.2 2.3 2.5 0.  2.9
 2.7 2.9]",0
0,3,"[1.8 0.7 2.8 2.3 0.5 0.6 0.4 1.3 1.6 0.3 0.8 0.6 2.9 2.8 0.5 2.8 0.5 1.8
 2.1 0.6]",0
0,4,"[0.  0.  0.5 1.1 1.3 0.  0.5 0.  1.4 2.7 1.1 0.4 1.3 1.7 1.  2.3 1.9 2.9
 2.6 1. ]",0
0,5,"[1.2 1.3 2.5 0.4 1.9 1.6 1.5 1.2 0.6 0.8 2.  1.2 1.5 0.3 2.8 0.3 0.2 1.2
 1.5 2.4]",0
0,6,"[1.2 0.5 1.8 2.1 0.2 2.4 2.3 0.9 0.5 1.7 0.4 2.8 0.9 2.6 0.  1.2 0.8 2.1
 2.1 1.2]",0
0,7,"[2.9 2.6 0.7 1.4 0.9 2.7 1.3 0.7 1.  0.8 0.6 2.9 1.3 0.6 1.1 1.3 2.5 0.1
 1.5 2.9]",0
0,8,"[2.7 1.5 2.4 1.9 1.4 1.6 2.6 1.8 1.2 1.6 0.9 0.7 1.1 0.  2.5 2.3 2.1 1.4
 1.9 0. ]",0
0,9,"[1.5 0.6 2.6 0.8 2.2 0.2 2.5 2.8 2.  2.8 1.9 2.9 0.  0.9 2.1 2.5 2.3 0.6
 0.9 1. ]",0
0,10,"[2.9 2.8 2.9 1.7 1.6 1.2 0.4 0.1 2.9 1.5 0.5 0.  1.1 1.4 0.8 0.8 0.8 1.4
 1.1 1.5]",0
0,11,"[2.7 1.3 0.  0.2 2.1 0.6 2.5 2.6 2.3 0.5 1.7 1.5 1.4 2.9 2.2 0.5 1.2 2.1
 1.  2.9]",0
0,12,"[2.4 2.2 0.9 0.5 0.1 0.6 2.1 2.1 1.7 0.5 0.3 1.  2.7 1.1 2.1 1.6 1.7 1.8
 2.  0.5]",0
0,13,"[1.  0.7 1.2 1.3 2.6 1.3 1.7 0.4 0.7 0.  1.5 1.5 0.1 1.  2.9 1.9 0.4 1.2
 2.4 0.2]",0
0,14,"[0.7 2.4 1.6 0.6 0.3 2.6 1.9 1.2 1.9 1.3 2.1 1.7 2.8 2.1 0.6 2.6 1.1 1.8
 1.6 0.4]",0
0,15,"[2.6 2.5 1.8 2.1 2.8 1.7 0.3 2.3 2.4 2.7 0.2 1.6 2.6 2.2 1.  1.4 0.6 1.4
 1.6 0.2]",0
0,16,"[0.3 1.1 1.8 1.9 1.2 0.  2.1 2.4 2.2 0.  2.5 1.6 2.1 2.6 0.8 2.6 0.7 1.9
 1.9 0.2]",0
0,17,"[0.9 0.7 2.3 2.4 2.3 0.5 0.8 1.7 0.3 2.2 1.9 1.7 0.  2.7 1.  2.4 1.6 2.1
 0.6 0. ]",0
0,18,"[1.  0.  0.7 0.2 2.3 2.6 0.8 0.6 1.  1.1 2.  0.5 0.4 1.8 2.9 2.7 0.3 0.8
 0.6 0.6]",0
0,19,"[0.1 2.4 1.7 0.4 1.9 1.1 2.  0.3 2.1 1.4 0.9 1.9 2.1 0.7 2.5 1.5 0.3 2.6
 2.4 1.4]",0
0,20,"[0.3 1.9 0.5 2.7 0.6 1.3 2.2 1.1 2.5 1.2 0.3 1.9 0.  0.3 2.6 2.9 1.2 0.9
 1.8 0.2]",0
0,21,"[0.6 1.7 0.1 2.7 2.  0.3 2.9 2.1 1.8 0.1 1.4 1.1 1.4 2.9 1.4 2.8 0.5 0.
 1.2 0.5]",0
0,22,"[1.3 0.3 0.2 0.7 0.6 0.8 2.  1.2 0.6 0.9 2.3 1.6 0.1 2.4 1.  2.1 1.3 0.1
 2.7 0.2]",0
0,23,"[1.4 1.7 0.2 2.7 2.2 0.  0.7 2.9 1.6 2.5 1.1 0.2 1.6 0.9 1.3 1.4 2.  2.7
 1.6 2. ]",0
0,24,"[0.2 0.6 0.5 1.5 1.6 1.1 0.9 0.6 1.3 1.3 2.6 0.3 2.5 0.5 2.8 2.4 2.4 0.8
 0.1 0.1]",0
0,25,"[1.4 2.5 0.  0.  2.7 1.2 0.6 0.5 0.5 2.9 2.5 0.2 0.  1.1 0.  1.1 2.3 2.2
 0.3 2.2]",0
0,26,"[2.  2.4 2.3 2.7 0.3 0.5 2.1 0.1 2.2 1.8 2.7 0.2 1.5 2.3 0.1 2.6 1.6 0.9
 1.5 1.8]",0
0,27,"[1.4 0.4 1.9 1.1 2.  1.7 1.8 1.2 2.2 2.9 0.5 1.5 0.1 0.5 2.4 2.6 0.6 0.7
 2.  1.9]",0
0,28,"[2.3 2.4 0.1 0.7 2.6 0.9 0.  2.4 2.8 2.3 1.1 2.9 2.4 2.4 0.2 2.2 2.  0.2
 0.1 2.9]",0
0,29,"[1.5 0.1 0.5 1.1 1.1 2.4 1.8 2.8 0.2 0.9 0.9 0.1 0.8 0.8 0.5 1.1 2.3 1.
 1.5 2.8]",0
0,30,"[2.7 0.5 0.4 1.7 0.1 1.5 2.5 0.5 0.5 2.7 1.8 1.  1.9 1.7 2.4 0.5 2.8 1.7
 0.3 2.5]",0
0,31,"[1.7 1.8 1.9 2.2 2.8 2.3 1.3 0.9 0.  1.7 1.8 1.  1.6 2.3 1.3 2.2 0.6 2.5
 0.4 1.2]",0
0,32,"[1.3 1.4 2.2 1.3 1.9 2.4 2.1 2.9 2.7 0.7 2.8 0.6 1.9 2.8 0.6 1.3 1.4 1.1
 2.7 0.3]",0
0,33,"[0.8 0.4 1.7 1.4 0.4 0.4 0.  0.9 1.3 2.8 2.8 1.4 1.9 1.  2.7 2.2 1.6 0.6
 1.  2.3]",0
0,34,"[0.1 2.1 0.7 0.1 0.7 0.1 1.9 2.3 0.5 1.8 1.3 0.1 2.9 2.1 2.2 1.8 1.  1.8
 0.3 1.2]",0
0,35,"[0.7 1.6 2.6 2.9 0.8 2.9 2.4 0.3 0.5 0.7 0.9 2.8 1.6 2.7 0.6 0.3 0.7 2.
 1.  1.4]",0
0,36,"[0.2 1.  2.6 0.5 1.1 2.3 1.7 0.4 2.7 0.1 1.9 1.9 0.8 1.6 1.9 0.2 2.  1.3
 2.5 1. ]",0
0,37,"[0.3 1.7 1.6 2.9 1.6 2.1 1.8 0.3 1.4 0.3 1.  0.9 2.5 2.6 1.2 1.7 1.1 0.1
 0.1 0.9]",0
0,38,"[0.7 0.5 1.1 1.5 1.5 2.3 1.4 0.  2.2 0.4 0.3 1.  0.1 0.4 1.  0.6 2.6 1.7
 0.3 2. ]",0
0,39,"[2.3 1.  0.5 0.9 0.9 0.8 1.3 0.8 0.5 2.4 0.4 1.9 2.1 2.4 2.7 2.4 2.5 1.3
 0.2 1.1]",0
0,40,"[2.  2.1 2.1 2.3 2.6 0.9 0.1 1.3 1.5 1.5 0.4 2.5 0.1 0.6 1.5 1.5 1.8 0.8
 0.7 1.3]",0
0,41,"[2.2 1.3 1.4 1.4 1.2 1.1 2.9 2.4 1.1 0.7 2.8 2.2 1.7 1.6 2.6 0.8 1.  1.9
 1.2 2.4]",0
0,42,"[2.6 1.2 2.6 1.6 0.3 2.3 0.3 1.3 0.4 0.  1.1 1.4 1.3 0.  0.9 0.8 2.9 1.6
 1.5 0.1]",0
0,43,"[1.6 1.8 0.8 2.1 0.2 2.2 0.9 1.7 0.9 0.6 2.3 1.8 1.1 0.9 1.8 1.5 2.2 2.3
 0.6 0. ]",0.018547168001532555
0,44,"[1.2 0.8 2.4 0.1 0.7 1.  2.4 2.7 2.2 1.4 0.1 0.1 0.3 2.7 0.5 2.9 2.9 2.2
 0.4 2.2]",0.10095313936471939
0,45,"[2.4 0.9 0.9 0.3 0.1 2.1 1.4 2.8 2.7 0.4 0.4 1.6 0.8 0.1 2.3 1.6 0.3 2.
 1.4 0.4]",0.19894543290138245
0,46,"[1.4 1.7 1.4 2.7 0.2 0.8 0.2 0.7 0.3 2.6 0.7 0.  2.5 2.1 1.  0.8 0.9 2.1
 1.3 0.7]",0.29821842908859253
0,47,"[2.9 1.1 0.4 1.8 2.5 2.3 0.6 2.9 1.4 0.1 0.5 1.  0.3 2.1 0.3 0.2 2.3 1.6
 0.6 2.3]",0.2988685965538025
0,48,"[2.  2.7 1.8 0.5 0.1 1.3 0.5 0.1 2.2 2.6 1.1 0.8 0.4 0.1 0.8 1.1 2.1 1.
 0.2 0.2]",0.2989652156829834
0,49,"[1.2 0.3 1.3 0.9 1.  0.6 0.6 1.1 0.1 1.1 0.  2.1 0.6 0.  2.2 2.8 1.  0.1
 1.8 2.1]",0.3395078182220459
